"Ex1","Ex2","Ex3","Ex4"
1866,11834,2181,6009
1887,13037,2699,7382
2342,11884,1812,21254
1947,12329,2475,23554
1814,15318,1849,7767
2272,37932,2581,28420
1846,12064,1869,33690
1779,40101,1993,6585
2861,35951,1685,5526
1729,12960,1844,7005
1713,12916,1832,20817
1934,12134,1948,7051
1860,11423,1854,25270
2566,39032,2158,22072
1650,12282,1897,20710
1810,15919,1913,22497
1788,11956,2057,24216
1773,11835,2505,6205
2429,11345,1805,7758
2162,12924,2579,25863
1896,12491,1697,25709
2321,11885,1758,31472
1839,38280,1845,25506
2125,12131,1945,6300
2153,11719,1885,7026
1684,25897,1734,25552
1542,41234,1572,23099
1833,37510,2157,22330
2626,32241,1796,25471
1769,13242,2187,23471
1576,13188,1717,25073
2369,12398,1732,22893
1870,12115,2090,25714
1695,11405,1824,28298
2166,42866,1853,6010
1782,12649,1941,6291
2334,12639,1751,7146
1801,12589,1705,25011
2788,12708,1984,30279
1800,15430,2141,19158
1715,39405,1709,21446
1805,35361,2393,17399
1712,12067,2125,24105
1835,12700,1894,23480
2229,11739,1904,24629
1781,39409,1846,22325
2114,11930,2534,7508
1950,30832,1870,22829
1838,13970,1951,21466
2316,13542,1958,25981
1710,12303,1862,7998
2006,12080,2142,7073
1887,12858,1855,34077
1870,13630,1893,22527
1668,12233,1845,25606
2052,12006,1685,20262
1929,38253,1846,26592
1885,12664,2865,24407
1936,31754,1957,6608
1813,11962,1959,20663
2355,12197,2229,7603
1748,39844,1994,7500
2392,36989,2307,21968
2400,38470,1705,16302
1792,12263,1817,35358
1860,12086,1687,7360
2196,13278,1792,24300
2222,12144,1800,19539
2352,12265,2457,5783
1638,12202,2660,34017
1903,11869,2176,33211
2809,12579,1864,21234
1790,13452,2471,24540
2674,12919,1671,25499
1851,11136,1891,24918
2077,12545,2667,6775
2070,33622,1889,6344
2057,12520,1859,26655
2053,11465,1932,24694
1848,12817,1896,7406
1740,12177,1766,23765
1884,11686,1748,19701
2546,12199,1897,24655
2052,11851,2072,27082
1907,14393,2029,24854
2325,34939,2292,20858
1781,11854,1929,23875
1677,13009,1849,25637
2508,37485,1804,18044
1898,12821,1999,23905
2115,13513,2609,7038
2026,39102,1856,21327
1918,11356,1965,21861
2446,12397,1682,32440
1784,12447,2826,6801
1933,14110,2887,23959
1724,12290,1848,25559
1747,12532,1822,6152
1786,13488,2158,7570
1775,13415,1757,7908
2598,12832,2407,7032
1981,12440,1809,6601
1710,12504,1902,7582
2747,12241,2209,22902
2085,12103,1657,6913
1773,12116,1833,6394
1871,13967,1761,8050
1811,12120,1665,7551
1806,38271,1900,24801
1921,11024,2032,24457
2397,12226,1801,6895
2023,12688,2800,22592
2956,11887,1735,28669
2103,13227,1978,5815
1908,15124,1826,6231
1849,12861,1719,6699
1624,12458,2547,30932
2513,41869,2488,24303
2058,12201,2004,31721
1810,12910,2536,5775
2741,34186,1871,16567
1975,12448,1995,17396
1806,11877,1982,35611
2119,12534,2182,30225
2052,11684,1915,24309
1798,12474,1818,7362
1880,13995,2201,22983
1808,11870,1798,7212
2419,12951,2262,6172
1976,12184,1845,29585
